Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598421708264067073,"China's auto export industry registered steady growth amid headwinds such as chip shortage, rise of raw material prices, and the pandemic, with export totaling 2.46 million units in the first 10 months, up 54.1 percent on a yearly basis. https://t.co/urrXN1MZ8r https://t.co/ez7jDarFBX",ChinaDaily,en,China
20221201,1598414140296802305,"With increasingly stronger institutions for biodiversity conservation, China has made significant progress in protecting biodiversity resources, said Minister of Ecology and Environment Huang Runqiu. https://t.co/2eQdj4rCJV https://t.co/zI3ocknOSR",ChinaDaily,en,China
20221201,1598399036792664066,"The China Banking and Insurance Regulatory Commission (CBIRC) on Thursday announced that it will run commercial pension trials in 10 cities and regions nationwide for one year from Jan 1, 2023. https://t.co/VimuXQNyre https://t.co/skKWCQXdfh",ChinaDaily,en,China
20221201,1598397192745938944,"#ChinaDailyEditorial
By unilaterally breaking contracts it has signed with China, the UK government is not only politicizing economic affairs but also sabotaging its own reputation. https://t.co/lBA9RpbVTd",ChinaDaily,en,China
20221201,1598391507689820160,"China will conduct its fifth national economic census in 2023 to take stock of the country's economic and social development, the State Council said in a notice. https://t.co/deXmgW7AhK https://t.co/p9Dzt81eWh",ChinaDaily,en,China
20221201,1598383934597140480,"China's services trade value grew 17.2 percent year-on-year in the first 10 months of 2022, data from the Ministry of Commerce showed on Thursday. https://t.co/K8DvbVZqE7",ChinaDaily,en,China
20221201,1598376408010862595,"According to the statistics of authorities of Suichuan county in East China's Jiangxi province, in 2022, nearly 100,000 people are engaged in #tea-related industries, and each household secured an average income increase of more than 4,000 yuan ($566). https://t.co/2AIfxIP605",ChinaDaily,en,China
20221201,1598323538846691329,"China and the European Union should work together to promote the signing and entry into force of the China-EU Comprehensive Agreement on Investment to benefit their businesses and people at an early date, the Ministry of Commerce said. https://t.co/2HWqmexAna",ChinaDaily,en,China
20221201,1598316020753915904,An ancient coin hoard containing 1.5 tonnes of coins dating back to the Tang (618-907) and Song (960-1279) dynasties has been discovered in East China's Jiangsu province. https://t.co/XNrltfILze,ChinaDaily,en,China
20221201,1598308440195366913,China's Yunnan passes regulation on protecting centuries-old tea trees https://t.co/tC8o9qC7W5 https://t.co/UsmSRyoKf1,ChinaDaily,en,China
20221201,1598300890644901888,"China urged the United States to stop politicizing and weaponizing economic and #trade issues, and treat companies from all countries, including China, fairly, the Ministry of Commerce said on Thursday. https://t.co/efDGcubCRI https://t.co/1VwD9orFe0",ChinaDaily,en,China
20221201,1598293337173172225,Read the remarks by President Xi Jinping that shed light on his vision for China's space dream. #XiJinping #XiSays #领航新时代 https://t.co/MOvkiMsZ3p,ChinaDaily,en,China
20221201,1598278240271224834,"A new record-high number of black-necked cranes, a species under first-class state protection in China, have been spotted in a national nature reserve in Southwest China's Yunnan province during the wintering period. #COP15 https://t.co/b5zo9pSdwf",ChinaDaily,en,China
20221201,1598270689915867136,Temperatures plummeted in most parts of China and people keep themselves warm under piles of heavy clothing. https://t.co/iBM78sI5ur,ChinaDaily,en,China
20221201,1598270123177279488,China will conduct its fifth national economic census in 2023 to take stock of the country's economic and social development. https://t.co/MJWh6DCgeg https://t.co/nJuHkvf1fQ,ChinaDaily,en,China
20221201,1598256288781127680,"With the announcement of 20 new measures, will China forgo its dynamic Zero-COVID policy? China’s #Covid_19 policy and its future, explained. #MediaUnlocked https://t.co/lkc4Z5aipn",ChinaDaily,en,China
20221201,1598245097786572800,"China announced the implementation of its private pension plan to supplement the country's old-age insurance mechanism. The plan is open to qualified citizens in 36 cities and regions, including Beijing, Shanghai, Guangzhou, Xi'an and Chengdu. https://t.co/cr1JYECDAg",ChinaDaily,en,China
20221201,1598240553824505858,"A regulation on helping implement the Patent Law is being amended in an effort to improve the legal system and promote high-quality development in this regard, an official from China's top intellectual property regulator said. https://t.co/Ietc1OZnD2",ChinaDaily,en,China
20221201,1598236829290938369,"The Fengyun 3E and 4B weather satellites and their ground application systems officially entered operation to support global forecasting and emergency disaster reduction on Thursday, according to the China Meteorological Administration. https://t.co/mRBMqc870R https://t.co/Y8SXlW9rwD",ChinaDaily,en,China
20221201,1598232942488481792,"Construction has begun on two major high-speed railways in southwestern China, which are expected to be completed in 2027 and 2028, improving the region's high-speed railway network and boosting socioeconomic development. https://t.co/mHKkW2aA4H https://t.co/0BIKZl8UzY",ChinaDaily,en,China
20221201,1598229164032942080,Canada-China business has obstacles to address https://t.co/gW93KKMzMB https://t.co/ZYieiakPiO,ChinaDaily,en,China
20221201,1598222762732007424,"China has handled more than 100 billion parcels this year as of Thursday, evidence of the sector's strong resilience amid the #COVID_19 epidemic as carriers strive to maintain the flow of goods to meet people's demands, the State Post Bureau of China said. https://t.co/cAjSxFXTU9 https://t.co/zQBJzvqgHP",ChinaDaily,en,China
20221201,1598217836110917632,"Known as the “insect kingdom of North China”, Baxianshan National Nature Reserve in Tianjin has a forest coverage rate of 95% and a growing number of wild animals after years of afforestation efforts. #COP15 https://t.co/m3aUFqwRvq",ChinaDaily,en,China
20221201,1598206503328284673,"US Commerce Secretary acknowledged that the US reaps huge benefits from trade with China and pledged not to decouple from it, with the exception of critical technology and other areas that Washington deems could ""undermine"" its national security. https://t.co/yKgRM5EQmx https://t.co/3roG6YROrG",ChinaDaily,en,China
20221201,1598202741335425029,#OpinionLine Washington is only showing its true colors by trying to whip up discord in the South China Sea where there is already a consensus that peace and stability are in the best interests of the region. https://t.co/qHNaicXZZp https://t.co/C9GadVvTM3,ChinaDaily,en,China
20221201,1598187642428231682,A guideline on further regulating celebrity endorsements was released to improve governance of China's entertainment industry and provide new institutional support. https://t.co/MEI5uOEEYu https://t.co/VWr0AKLsBB,ChinaDaily,en,China
20221201,1598168762615676928,"#China and #Laos agreed to push forward building the China-Laos community with a shared future to bring more benefits to their peoples and promote regional peace, stability and development. #XiJinping https://t.co/FANCHREB9b https://t.co/2H6fkLAdiw",ChinaDaily,en,China
20221201,1598145673362231296,"China's #COVID_19 prevention and control work is facing new situations and new tasks, with the weakening pathogenicity of Omicron, increasing uptake of vaccination and growing disease response experiences, Vice-Premier Sun Chunlan said on Wednesday. https://t.co/n9BvmC0paw https://t.co/R2jKFcn0Re",ChinaDaily,en,China
20221201,1598142343747874816,"Although a small number of parcel delivery stations have been closed due to the latest #COVID_19 outbreaks, China's parcel delivery network has been operating smoothly in general, the State Post Bureau of China said on Tuesday. https://t.co/ULvhZCwaLv https://t.co/urO16YITop",ChinaDaily,en,China
20221201,1598127243959549952,"The value of international freight handled on the China-Laos Railway has surpassed 10 billion yuan ($1.4 billion) nearly one year after the railway was put into operation, according to Yunnan International Railways Service Trade. #BeltandRoad https://t.co/qH1GPmo2jr",ChinaDaily,en,China
20221202,1598799201559011328,"Despite challenges posed by the COVID-19 pandemic, foreign catering companies are continuing to invest and expand in China, from constructing supply centers to developing online sales and deliveries. https://t.co/xR8Nnn224I https://t.co/s3RX5w1vvC",ChinaDaily,en,China
20221202,1598776527759761408,"A subcontracted cargo vessel for Aluminum Corporation of China's bauxite project in Boffa, the Republic of Guinea, rescued six local fishermen in the open water close to the Western African country on Nov 29, according to China's Ministry of Commerce. https://t.co/vZw1wEqmNJ https://t.co/BWv5UCehTs",ChinaDaily,en,China
20221202,1598776523146014720,"The ninth China Shanghai International Children's Book Fair (CCBF) is taking place at West Bund Art Centre in Shanghai from Dec 2-4. More than 30,000 new children's books from 17 countries are showcased in the new exhibition hall by the Huangpu River. https://t.co/66GM9V50Kg",ChinaDaily,en,China
20221202,1598769008098312192,"Over 100 relics and 24 houses, tombs, and pit remains, including earthenware, stoneware and boneware, have been unearthed in a site dating back to the Bronze Age in a newly-excavated area of 547.5 square meters at the site in northeast China's Jilin province https://t.co/UrpZJhYksP",ChinaDaily,en,China
20221202,1598746323683258369,"A China Southern Airlines plane with 272 passengers aboard took off from Guangzhou Baiyun International Airport for New York on Thursday, as the airline officially resumed flights to New York. The round-trip between Guangzhou and New York City will operate twice a week. https://t.co/36s2bZ8Swp",ChinaDaily,en,China
20221202,1598738775538302976,"The US side should stop smearing and attacking China, work with China in the same direction, and establish the right way for two major countries to get along, a Chinese Foreign Ministry spokesperson said Friday. https://t.co/QPpNGhz7dl",ChinaDaily,en,China
20221202,1598708575161176065,Archaeologists have unearthed 53 sites of ancient cultural remains and 278 relics during an evacuation project in southwest China's #Chongqing Municipality from April to October. #archaeology https://t.co/Bt0BkTPe7z,ChinaDaily,en,China
20221202,1598693474039013376,"The People's Bank of China, the country's central bank, and the State Administration of Foreign Exchange, jointly issued a set of four measures on Friday to better facilitate overseas financial institutions' bond issuance in the Chinese onshore market. https://t.co/zqMBjAYk8v",ChinaDaily,en,China
20221202,1598655725944770561,Read the remarks by President Xi Jinping that shed light on his vision for China's space dream. #XiJinping #XiSays #领航新时代 https://t.co/LAGLQOUNIX,ChinaDaily,en,China
20221202,1598648176793518081,"ABB Group, the Swiss technology company, opened its mega #robotics factory in Shanghai on Friday, a move to further enhance its market presence in both China and the Asia-Pacific region. https://t.co/XH3r9HrcUV https://t.co/eSr2lDy0i9",ChinaDaily,en,China
20221202,1598633075159994370,Images of a snow leopard has been captured by two infrared cameras in the Wenchuan area of the Giant Panda National Park in Southwest China's Sichuan province. #wildlife https://t.co/7x9VUxv0Q1 https://t.co/s3tQIsToHJ,ChinaDaily,en,China
