Text,Media,GPE
U.S. Treasury's Adeyemo says $60 oil price cap will limit Russia's revenues,Reuters,Russia
Biden and France's Macron renewed their commitment to fighting Russia's invasion of Ukraine and also acknowledged tensions over handling the economic stress of the war,Reuters,Russia
"U.S. President Joe Biden and French President Emanuel Macron pledged to hold Russia accountable for 'widely documented atrocities and war crimes' in Ukraine, the two leaders said in a statement issued after their White House meeting",Reuters,Russia
U.S. Treasury's Adeyemo says $60 oil price cap will limit Russia's revenues,Reuters,Russia
"China planning to soften COVID curbs and reduce mass testing, sources say, Ukraine says Russia pulled some troops from the river towns opposite Kherson, an appeals court reject President Biden's bid to revive a student debt plan, and more. 5⃣ stories you need to know",Reuters,Russia
Germans are looking to cut back on non-essentials amid a cost of living crisis fuelled by rising energy prices. They surged as the world emerged from lockdowns in 2021 and have been pushed yet higher in the stand-off between gas-rich Russia and the West,Reuters,Russia
"As fighting intensifies around the eastern Ukrainian city of Bakhmut, the Kremlin said Russian President Vladimir Putin is open to negotiations on Ukraine but the West must recognize Russia's ‘new territories’",Reuters,Russia
"Syria resisting Russia's efforts to broker Turkey summit, sources say",Reuters,Russia
"Syria resisting Russia's efforts to broker Turkey summit, sources say",Reuters,Russia
The presidents of the United States and France said they would hold Russia to account for its actions in Ukraine and the European Union reached tentative agreement on an oil price cap to squeeze Moscow's export earnings,Reuters,Russia
"Joe Biden used the first state visit of his presidency to demonstrate unity with France's Emmanuel Macron on Ukraine, show willingness to speak to Russia's Vladimir Putin and assuage European anger over U.S. subsidies",Reuters,Russia
"President Vladimir Putin is open to negotiations on Ukraine but the West must recognize Russia's ‘new territories,’ the Kremlin said, a day after U.S. President Joe Biden said he was willing to talk if Putin were looking for a way to end the war",Reuters,Russia
"Syria resisting Russia's efforts to broker Turkey summit, sources say",Reuters,Russia
"From Ukraine saying Russia has renewed missile attacks and knocked out power in the north, as the G7 price cap on Russian oil comes into force to U.S. Senate candidates making the last pitch in Georgia midterm runoff, these are the top 5⃣ stories you need to know today",Reuters,Russia
"Ukraine says Russia has renewed missile attacks and knocked out power in the north, as the G7 price cap on Russian seaborne oil comes into force, China is set to announce a further easing of COVID curbs as early as Wednesday, and more. 5⃣ stories you need to know",Reuters,Russia
"The G7 price cap on Russian seaborne oil came into force as the West tries to limit Moscow's ability to finance its war in Ukraine, though Russia has said it will not abide by the measure even if it has to cut production",Reuters,Russia
Russia's service sector contracts for second month running -PMI,Reuters,Russia
"The G7 price cap on Russian seaborne oil came into force as the West tries to limit Moscow's ability to finance its war in Ukraine, but Russia has said it will not abide by the measure even if it has to cut production",Reuters,Russia
"Russia, the world's second-largest oil exporter, will not sell oil that is subject to a Western price cap, even if it has to cut production, President Vladimir Putin's point man on energy said",Reuters,Russia
Oil tankers traveling from Russia and waiting in line off Turkey face more delays as operators raced to follow new Turkish insurance rules added ahead of a G7 price cap on Russian oil,Reuters,Russia
"🌎 Year in Review: Russia's invasion of Ukraine plunged Europe into its biggest land war since World War Two, igniting a conflict that has killed thousands. Now, Russia, mired in war, faces economic pain and attempts to isolate it",Reuters,Russia
"WARNING: GRAPHIC IMAGES 🌎 Year in Review: When Russia invaded Ukraine in 2022, millions endured bombardment in basements and bomb shelters. But millions rallied, taking up arms, ferrying food to villages, and caring for one another’s children",Reuters,Russia
"Nine months on from Russia’s invasion of Ukraine, some Russians are seeking out urban warfare training in free classes provided by a former special forces captain in a sports club just north of Moscow",Reuters,Russia
"Russia, mired in war, faces economic pain and isolation in 2023. As Putin pays up to keep his campaign grinding on, managing its fallout at home and abroad is likely to get ever harder",Reuters,Russia
Russia's Gazprom launches production at new Arctic gas site,Reuters,Russia
