Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598344934192472064,"Six million people remained without power across Ukraine, as Russian strikes on critical infrastructure continued     https://t.co/zgnTC8mGUk",WSJ,en,Ukraine
20221201,1598308479361490944,"Overall, 57% of survey respondents said the U.S. must continue supporting Ukraine with weapons and financial support https://t.co/y4t2WNTjAL",WSJ,en,Ukraine
20221201,1598232970329989120,European Union officials said the bloc can’t confiscate tens of billions of euros worth of frozen Russian central-bank funds to pay for Ukraine’s reconstruction https://t.co/YYj8xc5QVk,WSJ,en,Ukraine
20221201,1598225423405617153,Russia's attacks on Ukraine's civilian infrastructure are forcing millions of Ukrainian refugees who intended to return home to stay put https://t.co/OvRlQod6IF,WSJ,en,Ukraine
20221201,1598138585609568256,Secretary of State Antony Blinken said Western countries would step up support for Ukraine’s power sector and remain united against efforts by Russian President Vladimir Putin to divide Europe over energy supplies https://t.co/ZddrrjPJEH,WSJ,en,Ukraine
20221202,1598825612495527939,"“He’s the money guy, and he’s the media guy”: Yuri Kovalchuk’s sprawling media empire pumps out propaganda, helps crush dissent and works to distract an unsettled public as Russia’s troubles mount in Ukraine. https://t.co/s5NMVIpjjt",WSJ,en,Ukraine
20221202,1598716131312910338,"“He’s the money guy, and he’s the media guy”: Yuri Kovalchuk’s sprawling media empire pumps out propaganda, helps crush dissent and works to distract an unsettled public as Russia’s troubles mount in Ukraine. https://t.co/IJP14WE5LN",WSJ,en,Ukraine
20221202,1598682166241759233,Ukraine’s government moved to curb the activities of the Orthodox Christian denomination historically linked to Moscow https://t.co/eOYNeDJQtT,WSJ,en,Ukraine
20221202,1598659507688718338,"Russia rejected President Biden's conditions for negotiations over Ukraine with Putin, insisting that Moscow's military campaign in the country would continue https://t.co/o3QE43UH4w",WSJ,en,Ukraine
20221202,1598655763299303425,"As Russia targets Ukraine's energy grid with missiles and drones, Kyiv is running out of vital parts needed to repair a network that provides electricity for homes, businesses and hospitals https://t.co/rV58Axtr8Y",WSJ,en,Ukraine
