Text,Media,GPE
"Chinese scientists have found a new frog species in S China's Guangdong. The species has a small body size, with five adult males measuring 23.2 to 25.9 mm in snout-vent length.",PDChina,China
"China's services trade value grew 17.2% YOY in the first 10 months of 2022, standing at nearly 4.92 trillion yuan ($690.77 billion), data from the Ministry of Commerce showed on Thursday.",PDChina,China
"China will conduct its 5th national economic census in 2023 to take stock of the country's economic and social development, according to a notice published by the State Council.",PDChina,China
"In SW China lies a hidden paradise, where countless uniquely shaped hills are alive with lush forest!",PDChina,China
"In pics: The construction site of the Harbin Ice-Snow World, a renowned seasonal theme park that opens every winter in NE China's Heilongjiang.",PDChina,China
Tip: Don’t keep your car parked outside for too long during winter in NE China.,PDChina,China
"The Chinese PLA Navy released video of China's second aircraft carrier, the Shandong, conducting real combat training. The Shandong is China's first domestically designed and built aircraft carrier.",PDChina,China
"As the night closes in, splendid lights adorn the cityscape of Harbin, northeast China's Heilongjiang province.",PDChina,China
A total of 53 sites of ancient cultural remains and 278 relics dating back to as early as the Eastern Zhou Dynasty (770 BC-256 BC) were unearthed at a historic site in SW China's Chongqing. A batch of remains from the Spring and Autumn Period (770-476 BC) was also found here.,PDChina,China
"Breathtaking scenery of Luya Mountain in north China's Shanxi Province. Its ice caves, forests, rivers, and mountains form a unique natural landscape.",PDChina,China
"Start an energetic day with Doupi, one of the must-eat street food in Wuhan, central China's Hubei Province.",PDChina,China
"China's express delivery sector has handled more than 100 billion parcels this year as of Thursday, according to data from the State Post Bureau.",PDChina,China
"China's state-owned enterprises () raked in 66.42 trillion yuan (about $9.25 trillion) in operating revenues in the January-October period, up 8.9% from the same period last year, according to data from the Ministry of Finance.",PDChina,China
"Boating on the mirror: Enjoy the picturesque scenery in Fuping, north China's Hebei Province.",PDChina,China
"A total of 15 pilots obtained the C919 Type Rating after the China-made airplane completed related training specification test of the Flight Standardization Committee, meaning the C919 will soon be delivered for operation, said CAAC.",PDChina,China
"The Dushu Lake South Tunnel, China’s first four-ramp, six-lane, double-layer tunnel under a navigable canal, opened to traffic in Suzhou, E China's Jiangsu Monday. The underwater vehicular tunnel, constructed with cut-and-cover method, has a total length of 3.33 kilometers.",PDChina,China
"China's local governments issued bonds worth approximately 4.7 trillion yuan (about $654.88 billion) in the first ten months of 2022, data from the Ministry of Finance showed.",PDChina,China
Wild crested ibises enjoy a leisurely bath in Tianyuhe River in NW China's Shaanxi. The crested ibis is an endangered species under Class-I protection in China.,PDChina,China
The first undersea subway tunnel in NE China has been trial operated. The tunnel links the world's largest offshore airport to downtown Dalian City and will be operational by Apr 2024.,PDChina,China
"China's crew members on board the country's orbiting space station will return to Earth in the coming days, and the search and rescue team on the ground have completed a joint rehearsal on Thursday night, according to the Jiuquan Satellite Launch Center.",PDChina,China
"The West Lake welcomed the first snow of this winter in Hangzhou, E China's Zhejiang, adding a touch of natural beauty to the area.",PDChina,China
"Panda: ""Aha! There you are!"" The world's only captive brown panda Qizai finds a carrot in the snow-covered grass at a giant panda research and breeding center in NW China's Shaanxi.",PDChina,China
"China’s meteorological satellites, Fengyun-3E (FY-3E) and Fengyun-4B (FY-4B), along with their ground application systems, have officially started operation, said China Meteorological Administration.",PDChina,China
"With a height of 71.7 meters, Leifeng Pagoda at sunset is regarded as one of the ten best scenic spots of West Lake in Hangzhou, east China's Zhejiang province.",PDChina,China
"The ancient charm of Dujiangyan city, southwest China's Sichuan, is illuminated by colorful lights, giving a fancy night tour for visitors from near and far.",PDChina,China
"A new China-Laos freight train route for transporting cold-chain fruits was launched Friday in the Lao capital Vientiane, bound for southwest China's Chongqing. The train was loaded with 25 refrigerated containers of fruit worth more than 5.5 million yuan (about $779,766).",PDChina,China
"The first batch of development wells for the phase I project of Bozhong 19-6, the first 100 billion m3 gas field in China's Bohai Sea, started drilling on Thursday. The gas field has proven reserves of over 150 million m3 of oil and nearly 200 billion m3 of natural gas.",PDChina,China
"Picturesque scenery of Guan'E Valley Scenic Area in Longnan city, Northwest China's Gansu province after a snowfall.",PDChina,China
"Look how an artist finished a street painting in Chengdu, southwest China’s Sichuan Province, in 5 days!",PDChina,China
"China-Laos Railway has handled 8.5 million passenger trips and delivered 11.2 million tonnes of cargo as of December 2, according to China Railway Group.",PDChina,China
"The Xi'an-Tongchuan section of the Xi’an-Yan’an high-speed railway began construction Wed in NW China’s Shaanxi, meaning the whole line of the railway is now under construction. The 299-km-long railway with a designed speed of 350 kph is expected to boost local transportation.",PDChina,China
"The 921-km Harbin-Dalian high-speed railway in northeast China, the world's first of its kind to operate at extremely low temperatures, has seen 670 million trips since it was launched 10 years ago, said the China Railway Harbin Group.",PDChina,China
"China's longest coal-bed methane long-distance pipeline was put into trial operation Thur. The some 623-km-long pipeline, stretching from Shenmu of Shaanxi province to Anping of Hebei province, can transport 5 billion m3 of natural gas every year.",PDChina,China
"The sunset glow paints the evening sky with various shades of colors above Beihai City, south China’s Guangxi Zhuang Autonomous Region, creating mesmerizing scenery.",PDChina,China
"Enjoy the beauty of West Lake in Hangzhou, east China's Zhejiang province.",PDChina,China
"The shield tunnel project crossing the Yangtze River of the China-Russia east-route natural gas pipeline, a key project for the pipeline, was successfully completed Saturday after 28 months of construction, creating a necessary condition for the early completion of the pipeline.",PDChina,China
