Text,Media,GPE
"China plans a vaccination campaign for the elderly in December and January, part of its effort to be able to ease its zero-Covid policy",WSJ,China
"The Pentagon has established a unit to lure private funding for technology deemed critical to national security, citing concern over China's military advances",WSJ,China
"China’s internet watchdog asked tech companies to expand censorship of protests and took steps to restrict access to VPNs, people familiar with the matter said",WSJ,China
"China had three years to prepare for a Covid surge, but rather than boost capacity and invest in prevention it focused resources on control",WSJ,China
From : China let Communist nationalism drive its procurement decisions and rejected foreign vaccines. That decision is still haunting the Chinese public.,WSJ,China
Xi Jinping told a visiting EU delegation that recent protests in China reflected frustration about Covid controls and suggested the pandemic has entered a less deadly stage. Xi’s reported remarks are his first known responses to the demonstrations.,WSJ,China
"In China, Covid is relentless, and people are exhausted. But Xi Jinping remains firmly in control, writes China expert Andrew Nathan.",WSJ,China
"Former NBA star Jeremy Lin, who is currently playing professional basketball in China, was fined more than $1,400 after criticizing quarantine facilities on social media, the league said",WSJ,China
"“We hope tomorrow’s China doesn’t become today’s North Korea,” a student protester said recently",WSJ,China
"China plans to hold a ceremonial farewell for its late former leader Jiang Zemin in Beijing next week, as authorities tamp down protests across the country",WSJ,China
"China sent three more astronauts to space to finish building the Tiangong space station, which would mark a feat of the country’s space program",WSJ,China
Manufacturing in China has been essential to Apple's success. But now strict Covid protocols and worker unrest are driving the tech giant to look elsewhere.,WSJ,China
"Apple is making plans to shift some of its production outside China, say people involved in the discussions, to escape Covid disruptions and worker unrest",WSJ,China
"Former NBA star Jeremy Lin, who is currently playing professional basketball in China, was fined more than $1,400 after criticizing quarantine facilities on social media, the league said",WSJ,China
"The Air Force just unveiled the B-21, the secret bomber that's meant to keep China in check",WSJ,China
"Global car makers find China’s market is shifting and, as explains, investors are taking note",WSJ,China
"Local authorities across China are paring back some of their strictest Covid-19 control measures, just days after protests against a zero-tolerance approach that has kept the country largely isolated for years",WSJ,China
OPEC+ said it will stick to its oil-output cuts amid mounting concerns over Covid lockdowns in China and uncertainty over Russia’s ability to export crude,WSJ,China
"Local authorities across China are paring back some Covid-19 control measures, just days after protests against a zero-tolerance approach that has kept the country largely isolated for years",WSJ,China
OPEC+ is meeting to decide on oil output in light of slowing demand from China and an impending price cap on Russian oil,WSJ,China
"The Air Force just unveiled the B-21, the secret bomber that's meant to keep China in check",WSJ,China
"China’s scaling back of lockdowns and mass virus-testing is a response to nationwide protests against unpopular Covid-19 controls, a Communist Party mouthpiece acknowledged, in a rare sign that Beijing is responding to protesters’ demands",WSJ,China
Oil prices jumped after the West imposed major sanctions on Russian crude and looser Covid-19 restrictions in China boosted hopes for demand,WSJ,China
"From : When coupled with his outspokenness at home, Apple CEO Tim Cook’s accommodations on China makes him look like a hypocrite, writes",WSJ,China
