Text,Media,GPE
Over 14.5 million people have fled since the start of the Russia-Ukraine conflict and 11.7 million entered countries,XHNews,Ukraine
"Moscow is not prepared to negotiate with Washington if the U.S. sets the precondition that Russia pulls troops out of , Kremlin spokesman Dmitry Peskov said",XHNews,Ukraine
"The U.S. attempts to obstruct any Kiev-Moscow talks and at the same time is making huge profits from the current crisis in , Russian Deputy Foreign Minister Sergei Ryabkov said",XHNews,Ukraine
White House confirms American citizen detained by Russia released during Russia-Ukraine prisoner swap,XHNews,Ukraine
"UN chief says he does not expect effective peace talks over conflict in Ukraine ""at the immediate future""",XHNews,Ukraine
Ten months of combat. Few results of talks. Little room for reconciliation. Read for more: Peaceful settlement of Russia-Ukraine conflict remains out of sight,XHNews,Ukraine
"Fallout from Russia-Ukraine conflict is wrecking havoc on the whole world, battering economies of the two countries & hindering world recovery, while Washington is busy pocketing billions by selling massive weaponry & overpriced fuel to European allies",XHNews,Ukraine
"If Washington delivers the Patriot missiles to , they will become legitimate targets of Russian forces, Kremlin spokesman Peskov warned",XHNews,Ukraine
"Russia disclosed information of U.S. high-ranking participants in the military biological studies in Ukraine, many of whom are associated with U.S. intelligence services or pharmaceutical companies",XHNews,Ukraine
"Russia is ""acting in the right direction,"" Putin said when answering the question whether Moscow is approaching a dangerous line on the situation in Ukraine",XHNews,Ukraine
"In the past year, the Egyptian government has been striving to curb soaring inflation caused by rising food and energy prices as a result of the Russia-Ukraine conflict and lingering COVID-19 pandemic",XHNews,Ukraine
"""Stability is in urgent need in a world laden with changes and chaos. Only in this way can peace be realized."" Xinhua's chief reporter in Eurasia Fan Weiguo walks you through the year 2022 with insights into the Russia-Ukraine conflict and more.",XHNews,Ukraine
"In 2022, Türkiye launched a diplomatic offensive with a number of initiatives to mend fences with regional rivals and actively mediate the Russia-Ukraine conflict, playing a big role in the shifting of geopolitics in Mideast",XHNews,Ukraine
"""Europe has had to cope with a spate of economic, political and social crises in 2022, resulting mostly from the spillover effects of the prolonged conflict between Russia and Ukraine."" Watch for Xinhua's chief reporter in Europe Li Shengjiang's recap and expectation.",XHNews,Ukraine
"crisis , Europe's energy woe, , sabotage, , , U.S. Let's have a flashback of the eventful year of 2022 through the voices:",XHNews,Ukraine
"Europe has been severely impacted by the sanctions it imposed on Russia after the outbreak of its conflict with Ukraine, leading to the ongoing energy crisis, complete with gas shortages and high energy prices.",XHNews,Ukraine
