Text,Media,GPE
"Vessels linked to Russia’s largest grain trader shipped thousands of tons of stolen Ukrainian grain to global buyers, according to an investigation by The Wall Street Journal",WSJ,Russia
Russia's attacks on Ukraine's civilian infrastructure are forcing millions of Ukrainian refugees who intended to return home to stay put,WSJ,Russia
"“He’s the money guy, and he’s the media guy”: Yuri Kovalchuk’s sprawling media empire pumps out propaganda, helps crush dissent and works to distract an unsettled public as Russia’s troubles mount in Ukraine.",WSJ,Russia
"“He’s the money guy, and he’s the media guy”: Yuri Kovalchuk’s sprawling media empire pumps out propaganda, helps crush dissent and works to distract an unsettled public as Russia’s troubles mount in Ukraine.",WSJ,Russia
"Russia rejected President Biden's conditions for negotiations over Ukraine with Putin, insisting that Moscow's military campaign in the country would continue",WSJ,Russia
"As Russia targets Ukraine's energy grid with missiles and drones, Kyiv is running out of vital parts needed to repair a network that provides electricity for homes, businesses and hospitals",WSJ,Russia
A missile incident that killed two people in Poland led to one of the sharpest public divergences between Ukraine and the U.S. since the start of Russia’s invasion,WSJ,Russia
"Russia rejected President Biden's conditions for negotiations over Ukraine with Putin, insisting that Moscow's military campaign in the country would continue.",WSJ,Russia
OPEC+ said it will stick to its oil-output cuts amid mounting concerns over Covid lockdowns in China and uncertainty over Russia’s ability to export crude,WSJ,Russia
"The U.S. has secretly modified rocket launchers it gave Ukraine so they can't be used to fire long-range missiles into Russia, U.S. officials said",WSJ,Russia
U.S. gas prices have been up and down throughout the year and now more uncertainty is on the horizon as a European Union embargo on Russian oil imports kicks in along with a price cap on crude out of Russia,WSJ,Russia
"Blasts at a pair of air bases deep inside Russia killed at least three people and wounded six others, Russian authorities said",WSJ,Russia
"Oil prices rose 1.5% in London, rising to $86.87 a barrel, after the price cap on Russia crude took effect",WSJ,Russia
Oil prices wavered after Western allies introduced new sanctions and a price cap aimed at denting Russia’s fossil-fuel revenue while preventing a surge in global energy prices,WSJ,Russia
