Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598421688097579026,"Opinion: It is understandable that some US politicians may soften their tone to appease the market at time when the US is facing serious economic headwinds, but China will follow its own rhythm in modernizing its strategic industries. https://t.co/xXlkAM08eu",globaltimesnews,en,USA
20221201,1598322736165789702,"#Opinion: Some US elites have a shameless double standard: They condemn and even sentence those who incite violence in the US to long prison terms; but when it comes to anti-China disruptors, they spare no effort to defend them.
https://t.co/BY3LD4FRpa",globaltimesnews,en,USA
20221201,1598308433257717761,"#GTCartoon: US hypes ""China threat"" to justify its nuclear expansion. @_ValiantPanda_ https://t.co/wTR4ZvMYph",globaltimesnews,en,USA
20221201,1598284651822714880,"As inflation outpaces wage growth in the US, the traditional shopping season at the end of the year seems to have lost steam, with spending per consumer falling sharply. Meanwhile, Made-in-China clearly remains indispensable for US consumers. https://t.co/cunCqRmggc https://t.co/qq9ZOOhXJW",globaltimesnews,en,USA
20221201,1598276624344297473,"FM slams US smearing of China's efforts in epidemic control, saying China is sharing a big market with the world, and providing cost-effective products with stable industrial &amp; supply chains, citing data such as China's foreign trade in goods rising 9.9% from Jan to Sep. https://t.co/Oeh4XnU9Jr",globaltimesnews,en,USA
20221201,1598270570524971009,"President Xi and President Biden had in-depth, constructive and strategic discussions on major issues concerning China-US relations and prospects for world peace &amp; development in Bali, Chinese FM said Thur after US Secretary Antony Blinken said the meeting was vitally important https://t.co/fbSuqAA5Qo",globaltimesnews,en,USA
20221201,1598223712251432960,"Challenging US' Inflation Reduction Act (IRA) is an exercise of China’s rights as a WTO member, MOFCOM said, explaining Chinese delegation expressed concern over distorting trade subsidies contained in IRA &amp; measures that disrupt global semiconductor industry at #GATT. https://t.co/jj8yc0q6BT",globaltimesnews,en,USA
20221202,1598727444059389952,"Developing ties with China is actually the better way for EU to reduce its dependency on US and diversify its economy. However, the US has increased its attempts to force the EU to join its anti-China fleet: expert https://t.co/i1LAyGyU2R",globaltimesnews,en,USA
20221202,1598723677532704769,#环球时报Editorial: The transatlantic relationship is currently in a critical historical period. The steel frame of the bridge supporting it has been severely loosened. The US has neither the will nor the ability to repair it. https://t.co/mdg8nbDnKJ https://t.co/S7QvDCIdSY,globaltimesnews,en,USA
20221202,1598720868708151296,"""China challenge"" will not help US, France, or EU resolve their tensions. The US wants to create rivalry, forcing all sources to flow to US and sacrificing the interests of its allies to suit the US strategic appeal: expert https://t.co/i1LAyGR3gZ",globaltimesnews,en,USA
