Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598372207725772800,"Chinese experts criticized Japan on Thu after it expressed ""severe concerns"" over China-Russia joint air patrol, and urged Japan to listen to its domestic rational voices on China rather than ending up in a worse situation. https://t.co/QJBs29t9jK https://t.co/OiSXlvpwJo",globaltimesnews,en,Russia
20221202,1598618006925758465,"More Chinese yuan is expected to be used in cross-border settlement between China and Russia, further promoting yuan's internationalization process, says Chinese expert 
https://t.co/LpfWD2nYW4",globaltimesnews,en,Russia
20221203,1598905379710472192,"The Yangtze River crossing tunnel project of China-Russia Eastern Gas Pipeline, a key project for the pipeline, has successfully crossed the Yangtze River after 28 months of construction, creating necessary condition for the early completion of the pipeline: PipeChina https://t.co/3cizpY90Yu",globaltimesnews,en,Russia
20221204,1599368030416273408,A key construction project of the China-Russia east-route natural gas pipeline was completed on Saturday. It will allow Russian gas to cross the Yangtze River to reach Shanghai. https://t.co/RRJ8hbllut,globaltimesnews,en,Russia
20221205,1599682715766652928,"Energy cooperation between China &amp; Russia is based on mutual respect, mutual benefit and win-win results; all parties should make constructive efforts in securing global energy supply, Chinese FM said in response to whether China would join the price cap on Russian oil. https://t.co/HfzJ7Q4bDQ",globaltimesnews,en,Russia
20221206,1600153949654302722,"As Russia has warned on Mon to respond to a Western price cap on its crude oil, an initiative led by the US and endorsed by the G7 and allies to curb Russia’s income, Chinese experts pointed out that the price cap would bring limited losses for Russia.
https://t.co/zuGPrB3uPk",globaltimesnews,en,Russia
20221207,1600530195467108352,"Newest phase of the China-Russia east-route natural gas pipeline between Tai’an city, Shandong Province, and Taixing city, Jiangsu Province, entered operation Wednesday, channeling natural gas from Siberia to the Yangtze River Delta. 
https://t.co/YAhqA1F1ku",globaltimesnews,en,Russia
20221212,1602333417789542400,"#Opinion: Merkel’s recent confession about the Minsk agreements proves that the West is only exhausting Russia through protraction efforts. It has never really genuinely regarded Russia as a dialogue partner. 
https://t.co/r2XYpUQnMq https://t.co/MRLZBudABD",globaltimesnews,en,Russia
20221214,1603097489736966146,"When US Defense Secretary Lloyd Austin warned African leaders that “China and Russia were destabilizing Africa,” he probably forgot about the pain &amp; chaos the US has brought to the continent, and how much infrastructure China has built for Africa: experts
https://t.co/EeycrNScuc",globaltimesnews,en,Russia
20221215,1603324104366755841,"China, the EU and Russia criticized US’ decoupling moves at a WTO meeting on Wed, showing that those with a sense of justice all oppose to US hegemony, the Chinese FM said on Thurs, urging the US to correct its mistakes, abide by WTO rules.
https://t.co/Gnv3hJbaLl",globaltimesnews,en,Russia
20221217,1604082893709774848,"US prolongs Russia-Ukraine conflict for three aims, aggravates nuclear war risk: experts at #2023GlobalTimesAnnualConference https://t.co/fT93otZN2B",globaltimesnews,en,Russia
20221217,1604022270686818304,"Threre are 3 major uncertainties in future Russia-Ukraine conflicts: extended direct military confrontation between Russia and NATO members, nuclear contamination crises in Ukraine, and Russia forced to use nuclear weapons: Zhu Feng, a professor at Nanjing University https://t.co/DsLTBlAreH",globaltimesnews,en,Russia
20221217,1604020061186199552,"The US &amp; EU have not made substantial efforts to ease Russia-Ukraine conflict, but even in the opposite direction by providing weapons and ammunition. The key to solving it lies in their hands: Zhou Li, former vice minister of the Intl Department of the CPC Central Committee https://t.co/0cIivfoWXF",globaltimesnews,en,Russia
20221217,1604011660024610818,"The US has 3 goals in the Russia-Ukraine conflict: to comprehensively weaken Russia, to stabilize the regime in Ukraine and to push Europe to follow US policies, said Wu Xinbo, an international studies expert at Fudan Univ, at the #2023GlobalTimesAnnualConference https://t.co/lNXLTCKXpY",globaltimesnews,en,Russia
20221217,1604005503587061760,"The conflict between Russia &amp; Ukraine is a typical proxy war. The prolonged conflict in Ukraine is inevitable, and its impact on the world will further increase, Zhu Feng, a professor of intl relations at Nanjing University, said at #2023GlobalTimesAnnualConference https://t.co/uuTxBucNnz",globaltimesnews,en,Russia
20221217,1603938843119718400,"Russia-Ukraine conflict is not only the biggest international political event this year, but the biggest since the end of the Cold War. It brings shock to the very foundation of the American system, Jin Canrong, a prominent Chinese expert, told  #2023GlobalTimesAnnualConference https://t.co/Pp6shenRFC",globaltimesnews,en,Russia
20221218,1604467352241770496,"In the 10th month of the Russia-Ukraine conflict when military operations are scaling down in freezing winter, observers see slim chance of negotiations for peace in near future as neither side is ready to compromise to figure out common ground to talk. https://t.co/9mOXlwRr1z",globaltimesnews,en,Russia
20221219,1604753720184827904,"China and Russia will hold joint naval exercise ""Naval Interaction-2022"" from Dec 21 to 27 in the East China Sea: Russian Defense Ministry https://t.co/wGw8s0LHyu",globaltimesnews,en,Russia
20221220,1605214417628499968,"#Opinion: The key to solving the Russia-Ukraine conflict lies in the hands of the US &amp; EU. Right now, we must be vigilant against a protracted and expanded conflict between Russia and Ukraine, experts said at #GlobalTimesAnnualConference. https://t.co/FS1hkNsfsf",globaltimesnews,en,Russia
20221220,1605194853813407744,"The China-Russia joint naval drill comes at a complicated time when the US keeps promoting its Indo-Pacific strategy and Japan has broken away from its defense-only principle, with tensions remaining high in the Taiwan Straits.
https://t.co/kT4aoJS3Mz",globaltimesnews,en,Russia
20221220,1605194777288671232,"China and Russia will hold a week-long joint naval drill in the East China Sea starting Wednesday in a move which analysts said displays the two countries’ capabilities in tackling maritime security threats and safeguard peace&amp;stability.
https://t.co/kT4aoJB0Kz",globaltimesnews,en,Russia
20221220,1605006872452694016,China and Russia will hold Naval Interaction-2022 military drills from Dec 21 to 27 in waters to the east of Zhoushan to Taizhou based on the annual military cooperation schedule: Chinese Defense Ministry https://t.co/Ron1dHePOw,globaltimesnews,en,Russia
20221221,1605684547177353216,"#环球时报Editorial: From China-Russia cooperation, what the US and the West read should not be ""threats,"" but the proper way to get along.
https://t.co/QZrSDwYlEa https://t.co/8knfiZRM11",globaltimesnews,en,Russia
20221221,1605597379670839296,"#环球时报Editorial: China and Russia have the right to hold joint military exercises, so they should do so aboveboard with confidence.
https://t.co/QZrSDxfWvI https://t.co/8jvGJF0m64",globaltimesnews,en,Russia
