Datetime,Tweet Id,Text,User Name,Language,GPE
20221201,1598455675016908801,Sheets of dollar bills rolling off the presses at the Fort Worth Bureau of Engraving and Printing will soon bear the signature of US Treasury Secretary Janet Yellen https://t.co/sxZ9YAp0oL https://t.co/lw4dkM0Tp0,CNN,en,USA
20221201,1598451938391216130,"The US should not be negotiating with Iran “on anything right now,” including a nuclear agreement, former US Secretary of State Hillary Clinton said https://t.co/4kkoinVThZ",CNN,en,USA
20221201,1598444370071638026,"The Kremlin said that any details of prisoner swap discussions with the United States will not be publicly disclosed and that Moscow is not planning to engage with the Biden administration before the end of the year, according to Russian state media https://t.co/ec6YrE298P",CNN,en,USA
20221201,1598404100328226820,"“I didn’t get, like, hit in the balls,” US Men’s National Team captain Christian Pulisic said. “I’m alright. I’m alright."" https://t.co/flj6E4V69x",CNN,en,USA
20221201,1598312254541365250,"Prices at the pump continue to plunge, dropping the US average for gasoline below where it was when Russia invaded Ukraine. https://t.co/USY6WowTGi",CNN,en,USA
20221201,1598304671143268355,"US President Joe Biden will spend Thursday taking part in a flurry of events as part of his first state visit since taking office, welcoming the arrival of French President Emmanuel Macron and his spouse, Brigitte Macron. https://t.co/B5B5TzwhZm",CNN,en,USA
20221201,1598282014767153152,"The buildup to the US v Iran World Cup game focused on political tensions, but the players themselves put on a show of solidarity, with US players embracing Iranian players after the match. https://t.co/9MHvVzqKqM https://t.co/4KzrkKivRv",CNN,en,USA
20221201,1598266927197179905,"Officials are bracing for an influx of migrants trying to cross into the United States when the controversial public health authority, known as Title 42, ends in three weeks
https://t.co/23FQZX8nUe",CNN,en,USA
20221201,1598232977284145152,"A nine-figure settlement between the estate of Jeffrey Epstein and the US Virgin Islands has been signed, according to the islands’ attorney general. https://t.co/ngBjnMvUwR",CNN,en,USA
20221201,1598214089360216066,"The United States Women’s National Team earned more money from its male equivalent reaching the knockout stages of the 2022 FIFA World Cup in Qatar than it did from winning its own tournaments in 2015 and 2019
https://t.co/mM4DK4m5g8 https://t.co/Mm6Y7gTyia",CNN,en,USA
20221201,1598195217110278145,"The Biden administration is considering a dramatic expansion in the training the US military provides to Ukrainian forces, according to multiple US officials.
https://t.co/9nlOieV6Ur",CNN,en,USA
20221201,1598180126528864256,"Mexican-American drug trafficker Edgar Valdez Villareal, alias “La Barbie,” is “not currently in federal custody” in the United States, the Federal Bureau of Prisons told CNN.
https://t.co/ZYguQc8hj6",CNN,en,USA
20221201,1598127277170114560,"The United States Women’s National Team earned more money from its male equivalent reaching the knockout stages of the 2022 FIFA World Cup in Qatar than it did from winning its own tournaments in 2015 and 2019
https://t.co/FhF9l5BD7V https://t.co/r3ENjfL0J4",CNN,en,USA
20221201,1598115951437807619,"The US Food and Drug Administration is considering shifting its blood donation policy away from blanket assessments toward questionnaires that focus more on individual risk
https://t.co/cvW4YrA4Ir",CNN,en,USA
20221201,1598108394812051457,"Officials are bracing for an influx of migrants trying to cross into the United States when the controversial public health authority, known as Title 42, ends in three weeks
https://t.co/cXkXxJTFsx",CNN,en,USA
20221202,1598763212983369754,"The US military wants its adversaries, as well as allies, to know that, for the first time, a US Navy nuclear-powered ballistic missile submarine has docked at an island in the Indian Ocean as part of an extended months-long deployment. https://t.co/paU0n5NxAS",CNN,en,USA
